"filename", "language", "C++", "CMake", "XML", "JSON", "Perl", "C", "Markdown", "LaTeX", "HTML", "Properties", "PostCSS", "Ruby", "Shell Script", "YAML", "Python", "CMake Cache", "Batch", "GLSL", "Objective-C++", "Objective-C", "Makefile", "Diff", "JavaScript", "comment", "blank", "total"
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\index-2026-03-01T08-43-56-0064.json", "JSON", 0, 0, 0, -133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -134
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-19916d34a5e620e9e17a.json", "JSON", 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -64
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-47342e56a817762e792f.json", "JSON", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -124
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-842670cda97200a8dfa7.json", "JSON", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -52
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-952f8c9ba7242a1a8025.json", "JSON", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -52
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-9c33f3759e664519d81d.json", "JSON", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -52
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-badc1d0566660f20286a.json", "JSON", 0, 0, 0, -117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -118
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-19916d34a5e620e9e17a.json", "JSON", 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -64
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-47342e56a817762e792f.json", "JSON", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -124
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-842670cda97200a8dfa7.json", "JSON", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -52
